True,Predicted,Count,Percentage
nasi_goreng,soto,572,100.0
pempek,soto,555,100.0
sate,soto,532,100.0
bebek_betutu,soto,515,100.0
gudeg,soto,510,100.0
bakso,soto,452,100.0
rawon,soto,437,100.0
gado_gado,soto,383,100.0
rendang,soto,339,100.0
gulai_tunjang,soto,119,100.0
