True,Predicted,Count,Percentage
bakso,soto,74,16.371681415929203
gudeg,bebek_betutu,54,10.588235294117647
rawon,soto,52,11.899313501144166
bebek_betutu,nasi_goreng,44,8.54368932038835
bebek_betutu,soto,43,8.349514563106796
pempek,bakso,42,7.567567567567568
bebek_betutu,gudeg,39,7.572815533980583
gado_gado,soto,38,9.921671018276761
soto,bakso,34,4.702627939142462
rendang,rawon,34,10.029498525073747
