True,Predicted,Count,Percentage
bebek_betutu,nasi_goreng,98,19.02912621359223
soto,rawon,54,7.468879668049793
pempek,bakso,47,8.468468468468467
soto,nasi_goreng,47,6.500691562932228
gudeg,sate,43,8.431372549019608
telur_dadar,bebek_betutu,42,36.206896551724135
soto,gado_gado,41,5.670816044260028
gudeg,bebek_betutu,41,8.03921568627451
sate,rawon,41,7.7067669172932325
sate,gudeg,40,7.518796992481203
